jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458308.7316204,2,554231621215,20.74090003967285,/ztf/archive/sci/2018/0709/231586/ztf_20180709231586_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458311.728831,2,557228831215,20.4197998046875,/ztf/archive/sci/2018/0712/228796/ztf_20180712228796_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458311.7546875,1,557254681215,20.846599578857422,/ztf/archive/sci/2018/0712/254653/ztf_20180712254653_000634_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458314.7290162,2,560229011215,20.620500564575195,/ztf/archive/sci/2018/0715/228958/ztf_20180715228958_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458314.8330787,1,560333071215,20.74340057373047,/ztf/archive/sci/2018/0715/333079/ztf_20180715333079_000634_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458318.7690625,2,564269061215,20.623899459838867,/ztf/archive/sci/2018/0719/269051/ztf_20180719269051_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458321.7120602,2,567212061215,20.110300064086914,/ztf/archive/sci/2018/0722/212025/ztf_20180722212025_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458324.7110764,2,570211071215,18.59440040588379,/ztf/archive/sci/2018/0725/211065/ztf_20180725211065_000634_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458324.7941088,1,570294101215,19.54640007019043,/ztf/archive/sci/2018/0725/294097/ztf_20180725294097_000634_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
2458327.6879051,1,573187901215,19.625099182128906,/ztf/archive/sci/2018/0728/187870/ztf_20180728187870_000634_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18ablqqqp
