jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460153.7159028,2,2399215901415,19.760400772094727,/ztf/archive/sci/2023/0728/215891/ztf_20230728215891_000675_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2399.0,14.0,675.0,25.976600646972656,1.779950071068015e-05,0.03049910068511963,0.11396700143814087,2.6830899514607154e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460153.7864352,1,2399286431415,18.943099975585938,/ztf/archive/sci/2023/0728/286435/ztf_20230728286435_000675_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2399.0,14.0,675.0,25.714000701904297,5.750700074713677e-05,0.0453220009803772,0.010875600390136242,0.00012748700100928545,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460156.6821412,3,2402182141415,19.564199447631836,/ztf/archive/sci/2023/0731/182130/ztf_20230731182130_000675_zi_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2402.0,14.0,675.0,25.303800582885742,1.8049200662062503e-05,0.04483519867062569,0.1798650026321411,7.08224979462102e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460156.6826157,3,2402182610315,19.282100677490234,/ztf/archive/sci/2023/0731/182604/ztf_20230731182604_000674_zi_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2402.0,3.0,674.0,25.26490020751953,6.182349807204446e-06,0.02742679975926876,0.19208699464797974,2.239599962194916e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460159.7382523,2,2405238251415,19.152799606323242,/ztf/archive/sci/2023/0803/238241/ztf_20230803238241_000675_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2405.0,14.0,675.0,25.981300354003906,3.150030170218088e-05,0.041185300797224045,0.12227600067853928,4.80068993056193e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460160.6814699,2,2406181460315,19.800399780273438,/ztf/archive/sci/2023/0804/181285/ztf_20230804181285_000674_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2406.0,3.0,674.0,26.040700912475586,1.8565799109637737e-05,0.0320638008415699,0.10760799795389175,2.8163700335426256e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460162.7025,1,2408202490315,19.87529945373535,/ztf/archive/sci/2023/0806/202500/ztf_20230806202500_000674_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2408.0,3.0,674.0,26.07659912109375,3.058010042877868e-05,0.040955398231744766,-0.04119420051574707,5.130999852553941e-05,t17_f5_c3,2.408202490315015e+18,t,3.0,908.489990234375,1294.1700439453125,207.9782093,30.0504195,19.617599487304688,0.16785499453544617,1.0765000581741333,19.779199600219727,0.2849999964237213,0.533066987991333,18.780000686645508,0.01600000075995922,0.5149999856948853,-0.008999999612569809,-0.1348710060119629,0.16155600547790527,3.390000104904175,0.722000002861023,908.489990234375,0.09611699730157852,0.9347710013389587,0.9409999847412109,0.8659999966621399,0.27758100628852844,0.2554570138454437,1.0865999460220337,2.0,0.0,0.949999988079071,1.0,19.829099655151367,0.38109999895095825,207.9780412,30.0504557,7.5428,,,,ZTF18aaiucce
2460162.7034491,1,2408203441415,20.05940055847168,/ztf/archive/sci/2023/0806/203438/ztf_20230806203438_000675_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2408.0,14.0,675.0,26.1018009185791,2.9136399462004192e-05,0.03922859951853752,-0.045863401144742966,4.476220055948943e-05,t17_f5_c3,2.408203441415015e+18,t,0.0,2219.449951171875,1328.5,207.9782006,30.050458,19.60379981994629,0.2157279998064041,1.5373599529266357,19.743099212646484,0.26080000400543213,0.5526570081710815,18.77199935913086,0.017999999225139618,0.5519999861717224,0.0010000000474974513,0.19714400172233582,0.13932199776172638,2.3299999237060547,0.9509999752044678,853.0460205078125,0.31625598669052124,1.2164499759674072,0.699999988079071,0.6679999828338623,0.30042898654937744,0.2866950035095215,1.0478999614715576,7.0,0.0,0.9399999976158142,0.9592859745025635,19.786699295043945,0.3463999927043915,207.9780224,30.0504389,7.91874,,,,ZTF18aaiucce
2460162.7388079,2,2408238801415,19.70680046081543,/ztf/archive/sci/2023/0806/238808/ztf_20230806238808_000675_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2408.0,14.0,675.0,25.992300033569336,1.977539977815468e-05,0.03233329951763153,0.11663900315761566,2.9896000341977924e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaiucce
2460162.7397454,2,2408239740315,19.52389907836914,/ztf/archive/sci/2023/0806/239745/ztf_20230806239745_000674_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2408.0,3.0,674.0,25.983200073242188,1.7026499335770495e-05,0.03145290166139603,0.10733199864625931,2.62336998275714e-05,t17_f5_c3,2.408239740315015e+18,t,3.0,903.5390014648438,1281.47998046875,207.9781816,30.0504809,19.513200759887695,0.21690499782562256,0.9487900137901306,19.345399856567383,0.304500013589859,0.4174349904060364,18.770999908447266,0.02500000037252903,0.9980000257492065,0.06300000101327896,0.30741599202156067,-0.1677969992160797,2.3499999046325684,0.781000018119812,903.5390014648438,0.17847399413585663,1.1557400226593018,0.8339999914169312,0.7160000205039978,0.3548940122127533,0.3046810030937195,1.1648000478744507,4.0,0.0,0.9657139778137207,0.9599660038948059,19.481800079345703,0.44279998540878296,207.9780549,30.050439,6.63742,,,,ZTF18aaiucce
