jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458335.7869213,1,581286925215,16.768800735473633,/ztf/archive/sci/2018/0805/286921/ztf_20180805286921_000541_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abmqrwk
2458335.8172454,2,581317245215,18.03420066833496,/ztf/archive/sci/2018/0805/317234/ztf_20180805317234_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abmqrwk
2458338.8312963,2,584331295215,20.483299255371094,/ztf/archive/sci/2018/0808/331285/ztf_20180808331285_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abmqrwk
2458338.8629745,1,584362975215,20.85099983215332,/ztf/archive/sci/2018/0808/362963/ztf_20180808362963_000541_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abmqrwk
2458341.8262731,2,587326275215,20.296300888061523,/ztf/archive/sci/2018/0811/326262/ztf_20180811326262_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abmqrwk
2458344.8123264,2,590312325215,20.366600036621094,/ztf/archive/sci/2018/0814/312315/ztf_20180814312315_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,5.90312325215015e+17,t,29.0,590.0,52.0,541.0,2600.010009765625,2171.56005859375,300.0103391,14.9424297,16.270599365234375,0.03545200079679489,118.56900024414062,16.311500549316406,0.011099999770522118,3.9326000213623047,18.434999465942383,0.017000000923871994,0.2669999897480011,-0.027000000700354576,2.5118699073791504,0.040894001722335815,2.3299999237060547,0.9990000128746033,472.489990234375,4.05511999130249,1.1536200046539307,0.7670000195503235,0.7170000076293945,0.32918500900268555,0.3077250123023987,1.0697400569915771,0.0,0.0,0.786666989326477,1.0,16.306499481201172,0.013199999928474426,300.0114757,14.9425586,77.4428,ZTF18abmqrwk
2458344.8397106,1,590339715215,20.97439956665039,/ztf/archive/sci/2018/0814/339688/ztf_20180814339688_000541_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,5.90339715215015e+17,t,66.0,590.0,52.0,541.0,2599.110107421875,2169.3798828125,300.0103415,14.9424356,16.098100662231445,0.03843199834227562,145.18800354003906,16.110300064086914,0.007499999832361937,3.9331400394439697,19.14699935913086,0.028999999165534973,1.0180000066757202,-0.04600000008940697,1.4861199855804443,0.012192999944090843,2.009999990463257,0.984000027179718,473.38800048828125,4.864120006561279,1.2440199851989746,0.7889999747276306,0.7089999914169312,0.392536997795105,0.3527359962463379,1.1128400564193726,5.0,0.0,0.7300000190734863,0.9665610194206238,16.088899612426758,0.008200000040233135,300.0114793,14.9425604,88.2972,ZTF18abmqrwk
2458348.716794,2,594216795215,20.36090087890625,/ztf/archive/sci/2018/0818/216794/ztf_20180818216794_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,5.94216795215015e+17,t,15.0,594.0,52.0,541.0,2583.77001953125,1870.47998046875,300.0103323,14.942425,17.293699264526367,0.05938500165939331,39.17409896850586,17.39579963684082,0.0272000003606081,3.970560073852539,18.434999465942383,0.017000000923871994,0.2669999897480011,-0.027000000700354576,4.0904998779296875,0.10211099684238434,2.1700000762939453,0.9909999966621399,488.72900390625,2.9651200771331787,1.2146300077438354,0.7310000061988831,0.6819999814033508,0.33686599135398865,0.3142859935760498,1.0718499422073364,3.0,0.0,0.7666670083999634,0.9956719875335693,17.396099090576172,0.033799998462200165,300.0114757,14.9425586,48.0268,ZTF18abmqrwk
2458348.8516435,1,594351645215,20.726499557495117,/ztf/archive/sci/2018/0818/351644/ztf_20180818351644_000541_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,5.94351645215015e+17,t,23.0,594.0,52.0,541.0,2600.760009765625,1853.530029296875,300.0103521,14.94244,17.156200408935547,0.044551998376846313,73.1989974975586,17.157899856567383,0.01720000058412552,3.9017701148986816,19.14699935913086,0.028999999165534973,1.0180000066757202,-0.04600000008940697,1.0702099800109863,0.0016629999736323953,2.1600000858306885,0.9900000095367432,471.7359924316406,3.5686399936676025,1.207990050315857,0.8059999942779541,0.7250000238418579,0.37314799427986145,0.3356480002403259,1.1117199659347534,0.0,0.0,0.7966669797897339,1.0,17.143999099731445,0.020500000566244125,300.0114793,14.9425604,75.3951,ZTF18abmqrwk
2458351.7111921,2,597211195215,20.19099998474121,/ztf/archive/sci/2018/0821/211192/ztf_20180821211192_000541_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,5.97211195215015e+17,t,25.0,597.0,52.0,541.0,2583.570068359375,1868.010009765625,300.0103192,14.9424334,17.71179962158203,0.059363000094890594,10.904000282287598,17.85770034790039,0.04670000076293945,3.9937000274658203,18.434999465942383,0.017000000923871994,0.2669999897480011,-0.027000000700354576,4.823750019073486,0.14586499333381653,2.25,0.9829999804496765,488.9289855957031,2.3332901000976562,1.154270052909851,0.7049999833106995,0.6589999794960022,0.31333300471305847,0.2928889989852905,1.0698000192642212,3.0,0.0,0.7099999785423279,0.9969859719276428,17.924100875854492,0.06260000169277191,300.0114757,14.9425586,30.9715,ZTF18abmqrwk
