jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458298.6758218,1,544175824115,19.395299911499023,/ztf/archive/sci/2018/0629/175810/ztf_20180629175810_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.44175824115015e+17,t,6.0,544.0,41.0,577.0,2294.7099609375,679.1389770507812,192.8645239,20.6063367,18.170000076293945,0.09212800115346909,1.4672800302505493,18.07659912109375,0.0820000022649765,0.5090100169181824,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,-0.6460869908332825,-0.09344299882650375,4.110000133514404,0.9829999804496765,679.1389770507812,1.3186500072479248,0.8647279739379883,1.3029999732971191,1.1399999856948853,0.31703200936317444,0.27737200260162354,1.1429799795150757,1.0,0.0,0.5199999809265137,1.0,17.9153995513916,0.09049999713897705,192.8646717,20.6063734,23.5434,ZTF18abcrzfz
2458298.756169,2,544256164115,19.59040069580078,/ztf/archive/sci/2018/0629/256157/ztf_20180629256157_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.44256164115015e+17,t,5.0,544.0,41.0,577.0,2299.27001953125,634.135986328125,192.8645033,20.6064062,18.28420066833496,0.07824800163507462,1.6447099447250366,18.16390037536621,0.10109999775886536,0.4275600016117096,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,-0.32422301173210144,-0.12032800167798996,2.4100000858306885,0.9829999804496765,634.135986328125,1.4264800548553467,1.0806699991226196,0.8159999847412109,0.777999997138977,0.33858901262283325,0.3228220045566559,1.048840045928955,1.0,0.0,0.8100000023841858,1.0,18.145999908447266,0.12729999423027039,192.8645995,20.6063225,20.6864,ZTF18abcrzfz
2458301.6756019,2,547175604115,19.895000457763672,/ztf/archive/sci/2018/0702/175590/ztf_20180702175590_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.47175604115015e+17,1,7.0,547.0,41.0,577.0,2298.449951171875,736.6060180664062,192.8644919,20.6064252,18.079999923706055,0.0699860006570816,7.248010158538818,18.147300720214844,0.06689999997615814,0.5116980075836182,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.09754200279712677,0.06729400157928467,3.0899999141693115,0.9819999933242798,736.6060180664062,1.7477400302886963,0.9657340049743652,0.9020000100135803,0.8579999804496765,0.29190900921821594,0.2776699960231781,1.0512800216674805,0.0,0.0,0.7466670274734497,1.0,18.212499618530273,0.09019999951124191,192.8645995,20.6063225,37.1388,ZTF18abcrzfz
2458301.6756019,2,547175604115,19.895000457763672,/ztf/archive/sci/2018/0702/175590/ztf_20180702175590_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.47175604115015e+17,t,7.0,547.0,41.0,577.0,2298.449951171875,736.6060180664062,192.8644919,20.6064252,18.079999923706055,0.0699860006570816,7.248010158538818,18.147300720214844,0.06689999997615814,0.5116980075836182,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.09754200279712677,0.06729400157928467,3.0899999141693115,0.9819999933242798,736.6060180664062,1.7477400302886963,0.9657340049743652,0.9020000100135803,0.8579999804496765,0.29190900921821594,0.2776699960231781,1.0512800216674805,0.0,0.0,0.7466670274734497,1.0,18.212499618530273,0.09019999951124191,192.8645995,20.6063225,37.1388,ZTF18abcrzfz
2458301.7567824,1,547256784115,19.571300506591797,/ztf/archive/sci/2018/0702/256782/ztf_20180702256782_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.47256784115015e+17,t,1.0,547.0,41.0,577.0,2296.3798828125,517.7650146484375,192.8645482,20.6064291,17.83009910583496,0.06684699654579163,4.52741003036499,17.8572998046875,0.06390000134706497,0.45632898807525635,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,-0.26296600699424744,0.027170000597834587,3.240000009536743,0.9829999804496765,517.7650146484375,1.7139500379562378,0.9878399968147278,0.9340000152587891,0.8790000081062317,0.2882719933986664,0.2712959945201874,1.0625699758529663,0.0,0.0,0.7333329916000366,1.0,17.807100296020508,0.07769999653100967,192.8646717,20.6063734,38.0131,ZTF18abcrzfz
2458304.6787037,2,550178704115,20.290300369262695,/ztf/archive/sci/2018/0705/178692/ztf_20180705178692_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.50178704115015e+17,1,3.0,550.0,41.0,577.0,2298.469970703125,578.843994140625,192.8645244,20.6064479,17.978900909423828,0.05627800151705742,15.42609977722168,17.913299560546875,0.04699999839067459,0.5128960013389587,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.23852099478244781,-0.06558799743652344,2.240000009536743,0.9879999756813049,578.843994140625,2.377000093460083,1.0784399509429932,0.7170000076293945,0.6819999814033508,0.3200890123844147,0.3044640123844147,1.05131995677948,1.0,0.0,0.7966669797897339,1.0,17.923599243164062,0.05999999865889549,192.8645995,20.6063225,49.4528,ZTF18abcrzfz
2458304.6787037,2,550178704115,20.290300369262695,/ztf/archive/sci/2018/0705/178692/ztf_20180705178692_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.50178704115015e+17,t,3.0,550.0,41.0,577.0,2298.469970703125,578.843994140625,192.8645244,20.6064479,17.978900909423828,0.05627800151705742,15.42609977722168,17.913299560546875,0.04699999839067459,0.5128960013389587,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.23852099478244781,-0.06558799743652344,2.240000009536743,0.9879999756813049,578.843994140625,2.377000093460083,1.0784399509429932,0.7170000076293945,0.6819999814033508,0.3200890123844147,0.3044640123844147,1.05131995677948,1.0,0.0,0.7966669797897339,1.0,17.923599243164062,0.05999999865889549,192.8645995,20.6063225,49.4528,ZTF18abcrzfz
2458304.6950926,1,550195094115,20.478599548339844,/ztf/archive/sci/2018/0705/195093/ztf_20180705195093_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.50195094115015e+17,t,0.0,550.0,41.0,577.0,2295.2900390625,568.385009765625,192.8645241,20.6064383,17.80109977722168,0.056609999388456345,13.82859992980957,17.773500442504883,0.03220000118017197,0.5449830293655396,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,0.050374001264572144,-0.027583999559283257,2.3299999237060547,0.9829999804496765,568.385009765625,2.7050600051879883,1.1726200580596924,0.8259999752044678,0.8019999861717224,0.3545059859752655,0.3442060053348541,1.029919981956482,2.0,0.0,0.7266669869422913,1.0,17.720500946044922,0.038100000470876694,192.8646717,20.6063734,54.4208,ZTF18abcrzfz
2458307.6743287,2,553174324115,20.086299896240234,/ztf/archive/sci/2018/0708/174317/ztf_20180708174317_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.53174324115015e+17,1,4.0,553.0,41.0,577.0,2299.2900390625,660.0809936523438,192.8644972,20.6064447,17.91320037841797,0.05237000063061714,5.918039798736572,17.96739959716797,0.0608999989926815,0.5465350151062012,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.45126500725746155,0.05418600142002106,2.200000047683716,0.9829999804496765,660.0809936523438,2.1189401149749756,1.0617899894714355,0.6759999990463257,0.640999972820282,0.3072730004787445,0.29136401414871216,1.0546000003814697,3.0,0.0,0.8100000023841858,0.9985470175743103,17.961000442504883,0.07689999788999557,192.8645995,20.6063225,35.9689,ZTF18abcrzfz
2458267.7915625,2,513291564115,19.493999481201172,/ztf/archive/sci/2018/0529/291551/ztf_20180529291551_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcrzfz
2458270.668125,2,516168124115,20.335899353027344,/ztf/archive/sci/2018/0601/168113/ztf_20180601168113_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcrzfz
2458295.6741551,1,541174154115,19.53510093688965,/ztf/archive/sci/2018/0626/174155/ztf_20180626174155_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.41174154115015e+17,1,2.0,541.0,41.0,577.0,2303.85009765625,649.6010131835938,192.8645129,20.6064141,18.622299194335938,0.11517299711704254,2.553570032119751,18.667800903320312,0.16509999334812164,0.5480650067329407,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,-0.5425819754600525,0.045531000941991806,2.8499999046325684,0.9829999804496765,649.6010131835938,0.8673359751701355,0.9315230250358582,0.8489999771118164,0.7919999957084656,0.29789501428604126,0.2778950035572052,1.071969985961914,1.0,0.0,0.6866670250892639,1.0,18.6294002532959,0.20440000295639038,192.8646717,20.6063734,18.4957,ZTF18abcrzfz
2458307.6743287,2,553174324115,20.086299896240234,/ztf/archive/sci/2018/0708/174317/ztf_20180708174317_000577_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.53174324115015e+17,t,4.0,553.0,41.0,577.0,2299.2900390625,660.0809936523438,192.8644972,20.6064447,17.91320037841797,0.05237000063061714,5.918039798736572,17.96739959716797,0.0608999989926815,0.5465350151062012,19.5,0.0820000022649765,4.754000186920166,0.4880000054836273,0.45126500725746155,0.05418600142002106,2.200000047683716,0.9829999804496765,660.0809936523438,2.1189401149749756,1.0617899894714355,0.6759999990463257,0.640999972820282,0.3072730004787445,0.29136401414871216,1.0546000003814697,3.0,0.0,0.8100000023841858,0.9985470175743103,17.961000442504883,0.07689999788999557,192.8645995,20.6063225,35.9689,ZTF18abcrzfz
2458307.7279282,1,553227924115,20.270999908447266,/ztf/archive/sci/2018/0708/227917/ztf_20180708227917_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.53227924115015e+17,t,0.0,553.0,41.0,577.0,2299.25,621.406982421875,192.8645161,20.6064583,17.811199188232422,0.06479000300168991,12.194999694824219,17.838499069213867,0.04360000044107437,0.6041200160980225,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,0.2379709929227829,0.027344999834895134,2.0399999618530273,0.9909999966621399,621.406982421875,2.432490110397339,1.2331299781799316,0.7139999866485596,0.6859999895095825,0.3499999940395355,0.33627501130104065,1.0408200025558472,5.0,0.0,0.6933330297470093,0.9347040057182312,17.81170082092285,0.05350000038743019,192.8646717,20.6063734,43.4452,ZTF18abcrzfz
2458298.6758218,1,544175824115,19.395299911499023,/ztf/archive/sci/2018/0629/175810/ztf_20180629175810_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.44175824115015e+17,1,6.0,544.0,41.0,577.0,2294.7099609375,679.1389770507812,192.8645239,20.6063367,18.170000076293945,0.09212800115346909,1.4672800302505493,18.07659912109375,0.0820000022649765,0.5090100169181824,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,-0.6460869908332825,-0.09344299882650375,4.110000133514404,0.9829999804496765,679.1389770507812,1.3186500072479248,0.8647279739379883,1.3029999732971191,1.1399999856948853,0.31703200936317444,0.27737200260162354,1.1429799795150757,1.0,0.0,0.5199999809265137,1.0,17.9153995513916,0.09049999713897705,192.8646717,20.6063734,23.5434,ZTF18abcrzfz
2458320.6699769,1,566169974115,19.398799896240234,/ztf/archive/sci/2018/0721/169954/ztf_20180721169954_000577_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.66169974115015e+17,t,0.0,566.0,41.0,577.0,2289.97998046875,562.4940185546875,192.8644834,20.6063873,18.374099731445312,0.11847300082445145,1.3472199440002441,18.295400619506836,0.12600000202655792,0.6281830072402954,20.138999938964844,0.0820000022649765,3.496000051498413,0.3409999907016754,0.10376100242137909,-0.07874300330877304,3.0999999046325684,0.9829999804496765,562.4940185546875,1.1033799648284912,0.9056320190429688,1.0720000267028809,1.0049999952316284,0.3458060026168823,0.3241940140724182,1.0666699409484863,5.0,0.0,0.5266669988632202,0.9002360105514526,18.21430015563965,0.14970000088214874,192.8646717,20.6063734,16.6145,ZTF18abcrzfz
