jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458215.7349421,2,461234940215,19.240999221801758,/ztf/archive/sci/2018/0407/234907/ztf_20180407234907_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458216.7337153,2,462233710215,20.452699661254883,/ztf/archive/sci/2018/0408/233681/ztf_20180408233681_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458217.7328241,2,463232820215,20.46929931640625,/ztf/archive/sci/2018/0409/232813/ztf_20180409232813_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458217.7699537,2,463269950215,19.82659912109375,/ztf/archive/sci/2018/0409/269954/ztf_20180409269954_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458218.7483565,2,464248350215,20.521299362182617,/ztf/archive/sci/2018/0410/248356/ztf_20180410248356_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458218.7492708,2,464249270215,20.480300903320312,/ztf/archive/sci/2018/0410/249271/ztf_20180410249271_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458218.7694213,2,464269420215,20.40999984741211,/ztf/archive/sci/2018/0410/269421/ztf_20180410269421_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458218.7954051,2,464295400215,20.43239974975586,/ztf/archive/sci/2018/0410/295405/ztf_20180410295405_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458218.7968287,2,464296820215,20.386199951171875,/ztf/archive/sci/2018/0410/296806/ztf_20180410296806_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
2458219.7278472,2,465227840215,20.111799240112305,/ztf/archive/sci/2018/0411/227836/ztf_20180411227836_000754_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aayyqia
