jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,obj_id
2458278.7936806,2,524293682915,20.59939956665039,/ztf/archive/sci/2018/0609/293634/ztf_20180609293634_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458281.8153819,2,527315382915,20.758899688720703,/ztf/archive/sci/2018/0612/315359/ztf_20180612315359_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458284.8327083,2,530332702915,20.429899215698242,/ztf/archive/sci/2018/0615/332708/ztf_20180615332708_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458287.794213,2,533294212915,20.74690055847168,/ztf/archive/sci/2018/0618/294190/ztf_20180618294190_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458293.794838,2,539294832915,20.026399612426758,/ztf/archive/sci/2018/0624/294826/ztf_20180624294826_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.39294832915015e+17,t,4.0,539.0,29.0,586.0,737.0709838867188,1705.8299560546875,256.6834853,18.356971,19.206199645996094,0.16936400532722473,1.9346400499343872,19.40690040588379,0.24040000140666962,0.6375399827957153,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.2983349859714508,0.20071099698543549,1.2489800453186035,0.9789999723434448,737.0709838867188,0.6194679737091064,2.0,0.9309999942779541,0.7850000262260437,0.7454090118408203,0.6285139918327332,1.1859899759292603,4.0,0.0,0.7633330225944519,0.9608970284461975,19.50189971923828,0.32679998874664307,256.6835639,18.3571344,6.63961,,,,,,ZTF18abcvush
2458296.8107176,2,542310712915,19.654600143432617,/ztf/archive/sci/2018/0627/310301/ztf_20180627310301_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.4231071291501504e+17,t,9.0,542.0,29.0,586.0,743.4329833984375,1835.81005859375,256.6834774,18.357017,18.473499298095703,0.1298779994249344,2.224760055541992,18.404600143432617,0.12939999997615814,0.5126940011978149,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.1306380033493042,-0.06892500072717667,2.319999933242798,0.9959999918937683,743.4329833984375,1.2500100135803223,1.0756200551986694,0.7089999914169312,0.6269999742507935,0.3056029975414276,0.27025899291038513,1.1307799816131592,2.0,0.0,0.8066669702529907,1.0,18.303600311279297,0.14880000054836273,256.6835639,18.3571344,11.9231,,,,,,ZTF18abcvush
2458302.7098727,1,548209872915,20.755699157714844,/ztf/archive/sci/2018/0703/209838/ztf_20180703209838_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.48209872915015e+17,t,7.0,548.0,29.0,586.0,722.1610107421875,1736.43994140625,256.6834359,18.357057,18.21430015563965,0.07146099954843521,5.017499923706055,18.263999938964844,0.04529999941587448,0.6186050176620483,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,0.030086999759078026,0.049710001796483994,2.3399999141693115,0.9860000014305115,722.1610107421875,2.491719961166382,1.1517000198364258,0.8880000114440918,0.8420000076293945,0.379487007856369,0.35982900857925415,1.0546300411224365,2.0,0.0,0.7466670274734497,0.9972339868545532,18.242799758911133,0.05339999869465828,256.6835788,18.3571663,28.1335,,,,,,ZTF18abcvush
2458302.7946528,2,548294652915,20.069900512695312,/ztf/archive/sci/2018/0703/294641/ztf_20180703294641_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.48294652915015e+17,t,1.0,548.0,29.0,586.0,736.5130004882812,1741.300048828125,256.6833029,18.3573321,18.197500228881836,0.23781800270080566,8.48250961303711,18.368099212646484,0.07410000264644623,1.125830054283142,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,-0.4960460066795349,0.17055200040340424,1.6121000051498413,0.925000011920929,736.5130004882812,1.7018300294876099,2.0,0.8859999775886536,0.5170000195503235,0.5495949983596802,0.3206999897956848,1.713729977607727,3.0,0.0,0.4399999976158142,0.9653549790382385,18.35569953918457,0.08950000256299973,256.6835639,18.3571344,5.1617,,,,,,ZTF18abcvush
2458305.7108796,1,551210872915,20.606800079345703,/ztf/archive/sci/2018/0706/210845/ztf_20180706210845_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5121087291501504e+17,t,10.0,551.0,29.0,586.0,723.1840209960938,1787.6199951171875,256.6834502,18.3570541,18.31209945678711,0.08493100106716156,6.575210094451904,18.387699127197266,0.0568000003695488,0.5932629704475403,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,0.19192199409008026,0.07559199631214142,2.1600000858306885,1.0,723.1840209960938,2.219089984893799,1.2312899827957153,0.703000009059906,0.6809999942779541,0.3254629969596863,0.31527799367904663,1.0323100090026855,2.0,0.0,0.7699999809265137,1.0,18.356000900268555,0.06679999828338623,256.6835788,18.3571663,29.2962,,,,,,ZTF18abcvush
2458305.8359491,2,551335942915,20.34709930419922,/ztf/archive/sci/2018/0706/335938/ztf_20180706335938_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5133594291501504e+17,t,12.0,551.0,29.0,586.0,737.27197265625,1779.3199462890625,256.6834702,18.3570208,18.114200592041016,0.07057700306177139,4.246469974517822,18.18589973449707,0.06030000001192093,0.5176889896392822,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.2338239997625351,0.07171300053596497,2.240000009536743,0.9649999737739563,737.27197265625,2.1611599922180176,1.2156100273132324,0.7409999966621399,0.7080000042915344,0.3308039903640747,0.3160710036754608,1.0466099977493286,2.0,0.0,0.8399999737739563,0.9879739880561829,18.212400436401367,0.07419999688863754,256.6835639,18.3571344,12.4048,,,,,,ZTF18abcvush
2458308.729213,1,554229212915,20.848499298095703,/ztf/archive/sci/2018/0709/229201/ztf_20180709229201_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5422921291501504e+17,1,10.0,554.0,29.0,586.0,729.0289916992188,1819.510009765625,256.6834399,18.3570876,18.5221004486084,0.08207199722528458,6.37608003616333,18.51020050048828,0.057100001722574234,0.5497379899024963,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,-0.007282000035047531,-0.011880000121891499,1.940000057220459,0.9819999933242798,729.0289916992188,2.3382599353790283,1.2599400281906128,0.6800000071525574,0.6430000066757202,0.3505150079727173,0.33144301176071167,1.0575400590896606,1.0,0.0,0.8033329844474792,1.0,18.554899215698242,0.0714000016450882,256.6835788,18.3571663,28.2149,,,,,,ZTF18abcvush
2458308.729213,1,554229212915,20.848499298095703,/ztf/archive/sci/2018/0709/229201/ztf_20180709229201_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5422921291501504e+17,t,10.0,554.0,29.0,586.0,729.0289916992188,1819.510009765625,256.6834399,18.3570876,18.5221004486084,0.08207199722528458,6.37608003616333,18.51020050048828,0.057100001722574234,0.5497379899024963,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,-0.007282000035047531,-0.011880000121891499,1.940000057220459,0.9819999933242798,729.0289916992188,2.3382599353790283,1.2599400281906128,0.6800000071525574,0.6430000066757202,0.3505150079727173,0.33144301176071167,1.0575400590896606,1.0,0.0,0.8033329844474792,1.0,18.554899215698242,0.0714000016450882,256.6835788,18.3571663,28.2149,,,,,,ZTF18abcvush
2458308.7320833,2,554232082915,20.61079978942871,/ztf/archive/sci/2018/0709/232072/ztf_20180709232072_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5423208291501504e+17,t,17.0,554.0,29.0,586.0,729.989990234375,1826.1199951171875,256.6835183,18.3570291,18.17180061340332,0.06202299892902374,2.592740058898926,18.152999877929688,0.05490000173449516,0.404664009809494,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.1795089989900589,-0.01879199966788292,2.2200000286102295,0.9760000109672546,729.989990234375,2.457779884338379,1.0810600519180298,0.6940000057220459,0.6679999828338623,0.31261301040649414,0.30090099573135376,1.0389200448989868,5.0,0.0,0.7833330035209656,0.9350420236587524,18.132200241088867,0.06390000134706497,256.6835639,18.3571344,11.1052,,,,,,ZTF18abcvush
2458305.7108796,1,551210872915,20.606800079345703,/ztf/archive/sci/2018/0706/210845/ztf_20180706210845_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5121087291501504e+17,1,10.0,551.0,29.0,586.0,723.1840209960938,1787.6199951171875,256.6834502,18.3570541,18.31209945678711,0.08493100106716156,6.575210094451904,18.387699127197266,0.0568000003695488,0.5932629704475403,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,0.19192199409008026,0.07559199631214142,2.1600000858306885,1.0,723.1840209960938,2.219089984893799,1.2312899827957153,0.703000009059906,0.6809999942779541,0.3254629969596863,0.31527799367904663,1.0323100090026855,2.0,0.0,0.7699999809265137,1.0,18.356000900268555,0.06679999828338623,256.6835788,18.3571663,29.2962,,,,,,ZTF18abcvush
2458311.6915162,2,557191512915,20.537099838256836,/ztf/archive/sci/2018/0712/191505/ztf_20180712191505_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5719151291501504e+17,1,16.0,557.0,29.0,586.0,727.0170288085938,1710.0400390625,256.6835065,18.3570405,18.32819938659668,0.08907199651002884,3.7107601165771484,18.359800338745117,0.07010000199079514,0.39379000663757324,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.056370001286268234,0.031610000878572464,1.1880799531936646,0.7590000033378601,727.0170288085938,2.177340030670166,2.0,0.6150000095367432,0.5759999752044678,0.5176429748535156,0.4848160147666931,1.067710041999817,6.0,0.0,0.663332998752594,0.8073830008506775,18.287099838256836,0.07829999923706055,256.6835639,18.3571344,8.7505,,,,,,ZTF18abcvush
2458311.6915162,2,557191512915,20.537099838256836,/ztf/archive/sci/2018/0712/191505/ztf_20180712191505_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5719151291501504e+17,t,16.0,557.0,29.0,586.0,727.0170288085938,1710.0400390625,256.6835065,18.3570405,18.32819938659668,0.08907199651002884,3.7107601165771484,18.359800338745117,0.07010000199079514,0.39379000663757324,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.056370001286268234,0.031610000878572464,1.1880799531936646,0.7590000033378601,727.0170288085938,2.177340030670166,2.0,0.6150000095367432,0.5759999752044678,0.5176429748535156,0.4848160147666931,1.067710041999817,6.0,0.0,0.663332998752594,0.8073830008506775,18.287099838256836,0.07829999923706055,256.6835639,18.3571344,8.7505,,,,,,ZTF18abcvush
2458311.7523495,1,557252342915,20.826499938964844,/ztf/archive/sci/2018/0712/252350/ztf_20180712252350_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.5725234291501504e+17,t,23.0,557.0,29.0,586.0,740.1229858398438,1709.739990234375,256.6834741,18.3570399,18.853099822998047,0.08708100020885468,2.9398701190948486,18.768600463867188,0.07649999856948853,0.5777429938316345,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,-0.012008000165224075,-0.08454100042581558,1.9600000381469727,0.9819999933242798,740.1229858398438,2.0578598976135254,1.1848900318145752,0.7609999775886536,0.753000020980835,0.3882650136947632,0.38418400287628174,1.0106199979782104,1.0,0.0,0.7799999713897705,1.0,18.7268009185791,0.08910000324249268,256.6835788,18.3571663,16.8865,,,,,,ZTF18abcvush
2458266.8140741,2,512314072915,19.542200088500977,/ztf/archive/sci/2018/0528/314028/ztf_20180528314028_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t7_f4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458269.8569792,2,515356972915,18.920000076293945,/ztf/archive/sci/2018/0531/356979/ztf_20180531356979_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abcvush
2458314.6889699,2,560188962915,20.426799774169922,/ztf/archive/sci/2018/0715/188958/ztf_20180715188958_000586_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.6018896291501504e+17,t,21.0,560.0,29.0,586.0,728.2340087890625,1791.050048828125,256.6835074,18.3570292,18.477800369262695,0.09154099971055984,3.4321699142456055,18.441600799560547,0.07829999923706055,0.4187850058078766,16.628000259399414,0.061000000685453415,4.581999778747559,0.5299999713897705,0.4241490066051483,-0.03616800159215927,1.2182600498199463,0.996999979019165,728.2340087890625,1.9851900339126587,2.0,0.6269999742507935,0.5899999737739563,0.5146679878234863,0.4842970073223114,1.0627100467681885,5.0,0.0,0.7833330035209656,0.8702459931373596,18.371299743652344,0.08869999647140503,256.6835639,18.3571344,8.39857,,,,,,ZTF18abcvush
2458319.6893634,1,565189362915,19.780899047851562,/ztf/archive/sci/2018/0720/189352/ztf_20180720189352_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.65189362915015e+17,1,2.0,565.0,29.0,586.0,722.7630004882812,1728.6199951171875,256.6832455,18.3571041,19.655399322509766,0.255158007144928,0.9924989938735962,19.60260009765625,0.23669999837875366,1.1461700201034546,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,-0.3331359922885895,-0.05282000079751015,1.8415900468826294,0.34700000286102295,722.7630004882812,0.1782969981431961,2.0,1.0609999895095825,0.8799999952316284,0.5761319994926453,0.47784700989723206,1.205680012702942,6.0,0.0,0.5266669988632202,0.9486849904060364,19.423200607299805,0.2531000077724457,256.6835788,18.3571663,5.47132,,,,,,ZTF18abcvush
2458319.6893634,1,565189362915,19.780899047851562,/ztf/archive/sci/2018/0720/189352/ztf_20180720189352_000586_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t8_f5_c3,5.65189362915015e+17,t,2.0,565.0,29.0,586.0,722.7630004882812,1728.6199951171875,256.6832455,18.3571041,19.655399322509766,0.255158007144928,0.9924989938735962,19.60260009765625,0.23669999837875366,1.1461700201034546,17.608999252319336,0.05999999865889549,4.410999774932861,0.3240000009536743,-0.3331359922885895,-0.05282000079751015,1.8415900468826294,0.34700000286102295,722.7630004882812,0.1782969981431961,2.0,1.0609999895095825,0.8799999952316284,0.5761319994926453,0.47784700989723206,1.205680012702942,6.0,0.0,0.5266669988632202,0.9486849904060364,19.423200607299805,0.2531000077724457,256.6835788,18.3571663,5.47132,,,,,,ZTF18abcvush
