jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460029.8884259,1,2275388420415,20.457399368286133,/ztf/archive/sci/2023/0326/388414/ztf_20230326388414_000791_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.275388420415015e+18,t,17.0,2275.0,4.0,791.0,1083.06005859375,1726.8699951171875,204.8709049,52.456474,20.225900650024414,0.17788200080394745,1.3031400442123413,20.260000228881836,0.2648000121116638,0.17924100160598755,18.672000885009766,0.023000000044703484,1.309000015258789,0.06300000101327896,-0.2867009937763214,0.0340769998729229,2.5299999713897705,0.6449999809265137,1083.06005859375,0.1973789930343628,1.251729965209961,0.8870000243186951,0.7279999852180481,0.3505930006504059,0.28774699568748474,1.2184100151062012,4.0,0.0,0.9557139873504639,0.945106029510498,20.329099655151367,0.3578000068664551,204.8708315,52.4564973,6.76484,26.396900177001953,1.773859912646003e-05,0.03128429874777794,-0.1006070002913475,2.6771900593303144e-05,t17_f5_c3,ZTF18aautcbe
2460029.9264005,2,2275426400415,20.498600006103516,/ztf/archive/sci/2023/0326/426389/ztf_20230326426389_000791_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2275.0,4.0,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31760025024414,8.917129889596254e-06,0.02213059924542904,0.10134299844503403,1.332969986833632e-05,t17_f5_c3,ZTF18aautcbe
2460029.9278241,2,2275427820415,20.541099548339844,/ztf/archive/sci/2023/0326/427812/ztf_20230326427812_000791_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.275427820415015e+18,t,6.0,2275.0,4.0,791.0,1079.0699462890625,1724.6400146484375,204.8710903,52.4564909,20.278900146484375,0.17604899406433105,1.3756999969482422,20.444400787353516,0.38190001249313354,0.5705040097236633,18.280000686645508,0.03799999877810478,2.2279999256134033,0.2329999953508377,0.9019719958305359,0.16547299921512604,1.2117600440979004,0.41999998688697815,1079.0699462890625,0.09666500240564346,2.0,0.7400000095367432,0.7120000123977661,0.6106799840927124,0.5875729918479919,1.039330005645752,5.0,0.0,0.9585710167884827,0.9820420145988464,20.396400451660156,0.4627000093460083,204.8708348,52.4564816,5.38961,26.29789924621582,1.1630800145212561e-05,0.025156300514936447,0.10434100031852722,1.7320000551990233e-05,t17_f5_c3,ZTF18aautcbe
2460029.9946528,1,2275494650415,20.471599578857422,/ztf/archive/sci/2023/0326/494653/ztf_20230326494653_000791_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.275494650415015e+18,t,13.0,2275.0,4.0,791.0,1079.6099853515625,1726.3299560546875,204.8708942,52.4564617,20.306400299072266,0.2366659939289093,1.0317599773406982,20.10770034790039,0.2540999948978424,0.17645299434661865,18.672000885009766,0.023000000044703484,1.309000015258789,0.06300000101327896,-0.277213990688324,-0.19874300062656403,1.4059799909591675,0.37700000405311584,1079.6099853515625,0.36393100023269653,2.0,0.8880000114440918,0.6930000185966492,0.6315889954566956,0.4928950071334839,1.2813800573349,5.0,0.0,0.9614289999008179,0.999970018863678,19.854299545288086,0.25600001215934753,204.8708315,52.4564973,5.92494,26.3794002532959,1.7300399122177623e-05,0.030608700588345528,-0.10558599978685379,2.594070065242704e-05,t17_f5_c3,ZTF18aautcbe
2460030.8698843,2,2276369880415,20.693899154663086,/ztf/archive/sci/2023/0327/369873/ztf_20230327369873_000791_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.276369880415015e+18,t,12.0,2276.0,4.0,791.0,1081.22998046875,1722.3399658203125,204.8709898,52.4565143,20.344499588012695,0.2243870049715042,1.5860899686813354,20.799699783325195,0.47679999470710754,0.36452001333236694,18.280000686645508,0.03799999877810478,2.2279999256134033,0.2329999953508377,0.052365999668836594,0.45524901151657104,1.1666200160980225,0.5419999957084656,1081.22998046875,-0.10583599656820297,2.0,0.7829999923706055,0.6759999990463257,0.6711689829826355,0.5794510245323181,1.1582800149917603,9.0,0.0,0.9328569769859314,0.8126360177993774,20.613800048828125,0.5084999799728394,204.8708348,52.4564816,5.63074,26.32040023803711,1.2802200217265636e-05,0.026565199717879295,0.10850200057029724,1.9137200069963e-05,t17_f5_c3,ZTF18aautcbe
2460030.932037,2,2276432030415,20.3346004486084,/ztf/archive/sci/2023/0327/432025/ztf_20230327432025_000791_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2276.0,4.0,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.309600830078125,8.758699550526217e-06,0.022040799260139465,0.10311999917030334,1.3118699826009106e-05,t17_f5_c3,ZTF18aautcbe
2460030.9549884,1,2276454980415,20.326200485229492,/ztf/archive/sci/2023/0327/454977/ztf_20230327454977_000791_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.276454980415015e+18,t,7.0,2276.0,4.0,791.0,1082.0899658203125,1728.8800048828125,204.8708461,52.456489,20.08989906311035,0.1926479935646057,0.6685259938240051,19.94219970703125,0.21130000054836273,0.04328799992799759,18.672000885009766,0.023000000044703484,1.309000015258789,0.06300000101327896,-0.046254001557826996,-0.14774300158023834,1.6679400205612183,0.6380000114440918,1082.0899658203125,0.3840320110321045,2.0,1.0140000581741333,0.8429999947547913,0.6079369783401489,0.5054150223731995,1.2028499841690063,3.0,0.0,0.9128569960594177,0.9748910069465637,20.075899124145508,0.30309998989105225,204.8708315,52.4564973,6.96253,26.38789939880371,2.567939918662887e-05,0.03735249862074852,-0.0952455997467041,3.997470048489049e-05,t17_f5_c3,ZTF18aautcbe
2460031.7071296,1,2277207120415,20.037399291992188,/ztf/archive/sci/2023/0328/207130/ztf_20230328207130_000791_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2277.0,4.0,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.334699630737305,2.1969899535179138e-05,0.03439490124583244,-0.09039220213890076,3.5157900128979236e-05,t17_f5_c3,ZTF18aautcbe
2460032.657581,1,2278157580415,19.699199676513672,/ztf/archive/sci/2023/0329/157569/ztf_20230329157569_000791_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.278157580415015e+18,t,5.0,2278.0,4.0,791.0,1091.510009765625,1662.3399658203125,204.8706597,52.4564897,19.96470069885254,0.3245919942855835,0.9230470061302185,19.79360008239746,0.3476000130176544,0.3730719983577728,18.672000885009766,0.023000000044703484,1.309000015258789,0.06300000101327896,-0.1577869951725006,-0.17108699679374695,2.5399999618530273,0.7059999704360962,1091.510009765625,-0.09440899640321732,1.210960030555725,0.8610000014305115,0.6430000066757202,0.3389759957790375,0.25314998626708984,1.3390400409698486,6.0,0.0,0.9257140159606934,0.7536900043487549,19.853700637817383,0.4699999988079071,204.8708315,52.4564973,5.64214,26.21969985961914,2.1789899619761854e-05,0.032795701175928116,-0.07302089780569077,3.8991798646748066e-05,t17_f5_c3,ZTF18aautcbe
2460032.6980556,3,2278198050415,18.272199630737305,/ztf/archive/sci/2023/0329/198032/ztf_20230329198032_000791_zi_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2278.0,4.0,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.760099411010742,1.1904799976036884e-05,0.03670420125126839,0.17736199498176575,4.1529601730871946e-05,t17_f5_c3,ZTF18aautcbe
