jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,rbversion,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,obj_id
2458427.0387847,2,672538785715,19.92970085144043,/ztf/archive/sci/2018/1104/538785/ztf_20181104538785_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,6.72538785715015e+17,t,2.0,672,57,521,284.5780029296875,515.3889770507812,156.6288862,15.3407937,19.7362003326416,0.20798000693321228,0.7675470113754272,19.54450035095215,0.23659999668598175,2.7897698879241943,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,0.3201009929180145,-0.19166000187397003,4.090000152587891,0.8050000071525574,284.5780029296875,0.3852219879627228,0.7347689867019653,1.0460000038146973,0.8180000185966492,0.2557460069656372,0.20000000298023224,1.278730034828186,3.0,0.0,0.6299999952316284,0.9950680136680603,19.48069953918457,0.28630000352859497,156.6296994,15.3407605,10.0222,t12_f5_c3,,,,,,ZTF18accwjiu
2458427.0383333,2,672538331515,20.012100219726562,/ztf/archive/sci/2018/1104/538322/ztf_20181104538322_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,6.72538331515015e+17,t,35.0,672,15,572,1886.43994140625,2556.030029296875,156.6289246,15.340863,20.014999389648438,0.2162729948759079,1.2600500583648682,19.880599975585938,0.3278000056743622,2.46028995513916,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.12840400636196136,-0.1343729943037033,3.7100000381469727,0.9779999852180481,524.4660034179688,0.13148100674152374,0.7383130192756653,0.878000020980835,0.7160000205039978,0.2366580069065094,0.19299200177192688,1.2262599468231201,6.0,0.0,0.7066670060157776,0.9696339964866638,19.835100173950195,0.40380001068115234,156.6296058,15.3406459,8.01151,t12_f5_c3,,,,,,ZTF18accwjiu
2458430.0226273,2,675522621515,20.465599060058594,/ztf/archive/sci/2018/1107/522627/ztf_20181107522627_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,6.75522621515015e+17,t,46.0,675,15,572,1874.8399658203125,2553.469970703125,156.6289284,15.3408595,18.67259979248047,0.06990300118923187,8.799519538879395,18.718700408935547,0.09529999643564224,2.4440999031066895,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.13137699663639069,0.04614799842238426,1.809999942779541,0.9829999804496765,527.0339965820312,1.746899962425232,1.2262400388717651,0.6110000014305115,0.5770000219345093,0.337568998336792,0.31878501176834106,1.0589300394058228,6.0,0.0,0.7400000095367432,0.9877619743347168,18.728900909423828,0.1225999966263771,156.6296058,15.3406459,32.011,t12_f5_c3,,,,,,ZTF18accwjiu
2458430.0221759,2,675522175715,20.28420066833496,/ztf/archive/sci/2018/1107/522176/ztf_20181107522176_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,6.75522175715015e+17,t,3.0,675,57,521,272.5790100097656,512.3839721679688,156.6289441,15.3408551,18.63129997253418,0.10576499998569489,6.507740020751953,18.6117000579834,0.08739999681711197,2.610650062561035,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.03296399861574173,-0.01960100047290325,2.1600000858306885,0.9929999709129333,272.5790100097656,1.6725000143051147,1.1899199485778809,0.7099999785423279,0.6449999809265137,0.32870399951934814,0.29861098527908325,1.1007800102233887,6.0,0.0,0.6466670036315918,0.9416679739952087,18.57550048828125,0.10779999941587448,156.6296994,15.3407605,28.2201,t12_f5_c3,,,,,,ZTF18accwjiu
2458427.0383333,2,672538331515,20.012100219726562,/ztf/archive/sci/2018/1104/538322/ztf_20181104538322_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,6.72538331515015e+17,t,35.0,672,15,572,1886.43994140625,2556.030029296875,156.6289246,15.340863,20.014999389648438,0.2162729948759079,1.2600500583648682,19.880599975585938,0.3278000056743622,2.46028995513916,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.12840400636196136,-0.1343729943037033,3.7100000381469727,0.9779999852180481,524.4660034179688,0.13148100674152374,0.7383130192756653,0.878000020980835,0.7160000205039978,0.2366580069065094,0.19299200177192688,1.2262599468231201,6.0,0.0,0.7066670060157776,0.9696339964866638,19.835100173950195,0.40380001068115234,156.6296058,15.3406459,8.01151,t12_f5_c3,26.128999710083008,1.4090899639995769e-05,0.02735240012407303,0.09130170196294785,1.904969940369483e-05,ZTF18accwjiu
2458430.0226273,2,675522621515,20.465599060058594,/ztf/archive/sci/2018/1107/522627/ztf_20181107522627_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,6.75522621515015e+17,t,46.0,675,15,572,1874.8399658203125,2553.469970703125,156.6289284,15.3408595,18.67259979248047,0.06990300118923187,8.799519538879395,18.718700408935547,0.09529999643564224,2.4440999031066895,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.13137699663639069,0.04614799842238426,1.809999942779541,0.9829999804496765,527.0339965820312,1.746899962425232,1.2262400388717651,0.6110000014305115,0.5770000219345093,0.337568998336792,0.31878501176834106,1.0589300394058228,6.0,0.0,0.7400000095367432,0.9877619743347168,18.728900909423828,0.1225999966263771,156.6296058,15.3406459,32.011,t12_f5_c3,26.12660026550293,1.4421500054595526e-05,0.027587100863456726,0.09622489660978317,1.9458400856819935e-05,ZTF18accwjiu
2458433.0378935,2,678537891515,20.079099655151367,/ztf/archive/sci/2018/1110/537882/ztf_20181110537882_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,6.78537891515015e+17,t,60.0,678,15,572,1870.6500244140625,2572.949951171875,156.6289441,15.3408605,17.750499725341797,0.050147999078035355,4.499589920043945,17.801700592041016,0.049400001764297485,2.3944499492645264,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.26291000843048096,0.05121200159192085,2.2300000190734863,0.9829999804496765,507.552001953125,2.2773799896240234,1.1733200550079346,0.8309999704360962,0.7789999842643738,0.3726460039615631,0.3493269979953766,1.0667500495910645,0.0,0.0,0.8533329963684082,1.0,17.74329948425293,0.05939999967813492,156.6296058,15.3406459,48.6338,t12_f5_c3,26.112499237060547,1.6017000234569423e-05,0.02885580062866211,0.11275099962949753,2.1415100491140038e-05,ZTF18accwjiu
2458427.0387847,2,672538785715,19.92970085144043,/ztf/archive/sci/2018/1104/538785/ztf_20181104538785_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,6.72538785715015e+17,t,2.0,672,57,521,284.5780029296875,515.3889770507812,156.6288862,15.3407937,19.7362003326416,0.20798000693321228,0.7675470113754272,19.54450035095215,0.23659999668598175,2.7897698879241943,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,0.3201009929180145,-0.19166000187397003,4.090000152587891,0.8050000071525574,284.5780029296875,0.3852219879627228,0.7347689867019653,1.0460000038146973,0.8180000185966492,0.2557460069656372,0.20000000298023224,1.278730034828186,3.0,0.0,0.6299999952316284,0.9950680136680603,19.48069953918457,0.28630000352859497,156.6296994,15.3407605,10.0222,t12_f5_c3,26.138200759887695,1.196349967358401e-05,0.025665000081062317,0.088823601603508,1.6187899746000767e-05,ZTF18accwjiu
2458430.0221759,2,675522175715,20.28420066833496,/ztf/archive/sci/2018/1107/522176/ztf_20181107522176_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,6.75522175715015e+17,t,3.0,675,57,521,272.5790100097656,512.3839721679688,156.6289441,15.3408551,18.63129997253418,0.10576499998569489,6.507740020751953,18.6117000579834,0.08739999681711197,2.610650062561035,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.03296399861574173,-0.01960100047290325,2.1600000858306885,0.9929999709129333,272.5790100097656,1.6725000143051147,1.1899199485778809,0.7099999785423279,0.6449999809265137,0.32870399951934814,0.29861098527908325,1.1007800102233887,6.0,0.0,0.6466670036315918,0.9416679739952087,18.57550048828125,0.10779999941587448,156.6296994,15.3407605,28.2201,t12_f5_c3,26.14430046081543,1.1966199963353574e-05,0.02582019940018654,0.08855800330638885,1.6038500689319335e-05,ZTF18accwjiu
2458433.0383449,2,678538345715,20.054500579833984,/ztf/archive/sci/2018/1110/538345/ztf_20181110538345_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,6.78538345715015e+17,t,3.0,678,57,521,269.6440124511719,532.4030151367188,156.6289574,15.3408373,17.71929931640625,0.06366699934005737,7.423989772796631,17.690200805664062,0.04340000078082085,2.558300018310547,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.2849540114402771,-0.029078999534249306,2.390000104904175,0.9829999804496765,269.6440124511719,2.364269971847534,1.1528199911117554,0.8790000081062317,0.8399999737739563,0.36778199672698975,0.35146400332450867,1.046429991722107,0.0,0.0,0.7833330035209656,1.0,17.66189956665039,0.05350000038743019,156.6296994,15.3407605,49.0229,t12_f5_c3,26.135299682617188,1.0571799975878093e-05,0.024545999243855476,0.11006899923086166,1.4406899936147965e-05,ZTF18accwjiu
