jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,obj_id
2458337.6796065,1,583179602815,20.944900512695312,/ztf/archive/sci/2018/0807/179595/ztf_20180807179595_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458337.6945023,2,583194502815,20.77079963684082,/ztf/archive/sci/2018/0807/194468/ztf_20180807194468_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458340.68,2,586180002815,20.421300888061523,/ztf/archive/sci/2018/0810/179977/ztf_20180810179977_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458340.8265856,1,586326582815,19.72410011291504,/ztf/archive/sci/2018/0810/326574/ztf_20180810326574_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458343.6586343,2,589158632815,20.687700271606445,/ztf/archive/sci/2018/0813/158623/ztf_20180813158623_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458343.6788773,1,589178872815,20.828899383544922,/ztf/archive/sci/2018/0813/178854/ztf_20180813178854_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458346.6555093,1,592155502815,20.54949951171875,/ztf/archive/sci/2018/0816/155486/ztf_20180816155486_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458346.6787731,2,592178772815,20.69099998474121,/ztf/archive/sci/2018/0816/178738/ztf_20180816178738_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.6591667,1,595159162815,20.25550079345703,/ztf/archive/sci/2018/0819/159155/ztf_20180819159155_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.6720023,1,595172002815,20.398300170898438,/ztf/archive/sci/2018/0819/171991/ztf_20180819171991_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.6729282,1,595172922815,20.348899841308594,/ztf/archive/sci/2018/0819/172917/ztf_20180819172917_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.6947685,1,595194762815,20.444000244140625,/ztf/archive/sci/2018/0819/194699/ztf_20180819194699_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.7417245,2,595241722815,20.298099517822266,/ztf/archive/sci/2018/0819/241713/ztf_20180819241713_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.7426389,2,595242632815,20.238000869750977,/ztf/archive/sci/2018/0819/242639/ztf_20180819242639_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.768125,2,595268122815,20.30940055847168,/ztf/archive/sci/2018/0819/268113/ztf_20180819268113_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458349.7788542,2,595278852815,20.149099349975586,/ztf/archive/sci/2018/0819/278854/ztf_20180819278854_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.6631829,2,596163182815,20.51919937133789,/ztf/archive/sci/2018/0820/163171/ztf_20180820163171_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.6833102,2,596183312815,20.532400131225586,/ztf/archive/sci/2018/0820/183299/ztf_20180820183299_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.6983796,2,596198372815,20.44770050048828,/ztf/archive/sci/2018/0820/198345/ztf_20180820198345_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.7470949,1,596247092815,20.32200050354004,/ztf/archive/sci/2018/0820/247083/ztf_20180820247083_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.7662269,1,596266222815,20.28219985961914,/ztf/archive/sci/2018/0820/266192/ztf_20180820266192_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458350.8231019,1,596323102815,20.1653995513916,/ztf/archive/sci/2018/0820/323090/ztf_20180820323090_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458351.661088,2,597161082815,20.502599716186523,/ztf/archive/sci/2018/0821/161076/ztf_20180821161076_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
2458351.6755671,2,597175562815,20.480300903320312,/ztf/archive/sci/2018/0821/175509/ztf_20180821175509_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abrzzyk
